date,state,dose,daily_vac
2021-03-02,Labuan,2nd Booster,0
2021-03-02,Putrajaya,2nd Booster,0
2021-03-02,Malaysia,2nd Booster,0
2021-03-02,Johor,2nd Dose,0
2021-03-02,Kedah,2nd Dose,0
2021-03-02,Kelantan,2nd Dose,0
2021-03-02,Melaka,2nd Dose,0
2021-03-02,Negeri Sembilan,2nd Dose,0
2021-03-02,Pahang,2nd Dose,0
2021-03-02,Perak,2nd Dose,0
2021-03-02,Perlis,2nd Dose,0
2021-03-02,Penang,2nd Dose,0
2021-03-02,Sabah,2nd Dose,1
2021-03-02,Sarawak,2nd Dose,2
2021-03-02,Selangor,2nd Dose,0
2021-03-02,Terengganu,2nd Dose,0
2021-03-02,Kuala Lumpur,2nd Dose,0
2021-03-02,Labuan,2nd Dose,0
2021-03-02,Putrajaya,2nd Dose,0
2021-03-02,Malaysia,2nd Dose,3
2021-03-02,Johor,1st Dose,1481
2021-03-02,Kedah,1st Dose,1187
2021-03-02,Kelantan,1st Dose,2869
2021-03-02,Melaka,1st Dose,1085
2021-03-02,Negeri Sembilan,1st Dose,1325
2021-03-02,Pahang,1st Dose,2105
2021-03-02,Perak,1st Dose,2543
2021-03-02,Perlis,1st Dose,538
2021-03-02,Penang,1st Dose,1042
2021-03-02,Sabah,1st Dose,367
2021-03-02,Sarawak,1st Dose,635
2021-03-02,Selangor,1st Dose,1208
2021-03-02,Terengganu,1st Dose,2056
2021-03-02,Kuala Lumpur,1st Dose,2340
2021-03-02,Labuan,1st Dose,390
2021-03-02,Putrajaya,1st Dose,481
2021-03-02,Malaysia,1st Dose,21652
2021-03-03,Johor,1st Booster,0
2021-03-03,Kedah,1st Booster,0
2021-03-03,Kelantan,1st Booster,0
2021-03-03,Melaka,1st Booster,0
2021-03-03,Negeri Sembilan,1st Booster,0
2021-03-03,Pahang,1st Booster,0
2021-03-03,Perak,1st Booster,0
2021-03-03,Perlis,1st Booster,0
2021-03-03,Penang,1st Booster,0
2021-03-03,Sabah,1st Booster,0
2021-03-03,Sarawak,1st Booster,0
2021-03-03,Selangor,1st Booster,0
2021-03-03,Terengganu,1st Booster,0
2021-03-03,Kuala Lumpur,1st Booster,0
2021-03-03,Labuan,1st Booster,0
2021-03-03,Putrajaya,1st Booster,0
2021-03-03,Malaysia,1st Booster,0
2021-03-03,Johor,2nd Booster,0
2021-03-03,Kedah,2nd Booster,0
2021-03-03,Kelantan,2nd Booster,0
2021-03-03,Melaka,2nd Booster,0
2021-03-03,Negeri Sembilan,2nd Booster,0
2021-03-03,Pahang,2nd Booster,0
2021-03-03,Perak,2nd Booster,0
2021-03-03,Perlis,2nd Booster,0
2021-03-03,Penang,2nd Booster,0
2021-03-03,Sabah,2nd Booster,0
2021-03-03,Sarawak,2nd Booster,0
2021-03-03,Selangor,2nd Booster,0
2021-03-03,Terengganu,2nd Booster,0
2021-03-03,Kuala Lumpur,2nd Booster,0
2021-03-03,Labuan,2nd Booster,0
2021-03-03,Putrajaya,2nd Booster,0
2021-03-03,Malaysia,2nd Booster,0
2021-03-03,Johor,2nd Dose,1
2021-03-03,Kedah,2nd Dose,0
2021-03-03,Kelantan,2nd Dose,0
2021-03-03,Melaka,2nd Dose,0
2021-03-03,Negeri Sembilan,2nd Dose,0
2021-03-03,Pahang,2nd Dose,0
2021-03-03,Perak,2nd Dose,0
2021-03-03,Perlis,2nd Dose,0
2021-03-03,Penang,2nd Dose,0
2021-03-03,Sabah,2nd Dose,0
2021-03-03,Sarawak,2nd Dose,2
2021-03-03,Selangor,2nd Dose,0
2021-03-03,Terengganu,2nd Dose,1
2021-03-03,Kuala Lumpur,2nd Dose,0
2021-03-03,Labuan,2nd Dose,2
2021-03-03,Putrajaya,2nd Dose,0
2021-03-03,Malaysia,2nd Dose,6
2021-03-03,Johor,1st Dose,2063
2021-03-03,Kedah,1st Dose,1401
2021-03-03,Kelantan,1st Dose,3393
2021-03-03,Melaka,1st Dose,1096
2021-03-03,Negeri Sembilan,1st Dose,1219
2021-03-03,Pahang,1st Dose,1315
2021-03-03,Perak,1st Dose,1974
2021-03-03,Perlis,1st Dose,539
2021-03-03,Penang,1st Dose,1101
2021-03-03,Sabah,1st Dose,296
2021-03-03,Sarawak,1st Dose,493
2021-03-03,Selangor,1st Dose,2117
2021-03-03,Terengganu,1st Dose,2277
2021-03-03,Kuala Lumpur,1st Dose,2579
2021-03-03,Labuan,1st Dose,297
2021-03-03,Putrajaya,1st Dose,482
2021-03-03,Malaysia,1st Dose,22642
2021-03-04,Johor,1st Booster,0
2021-03-04,Kedah,1st Booster,0
2021-03-04,Kelantan,1st Booster,0
2021-03-04,Melaka,1st Booster,0
2021-03-04,Negeri Sembilan,1st Booster,0
2021-03-04,Pahang,1st Booster,0
2021-03-04,Perak,1st Booster,0
2021-03-04,Perlis,1st Booster,0
2021-03-04,Penang,1st Booster,0
2021-03-04,Sabah,1st Booster,0
2021-03-04,Sarawak,1st Booster,0
2021-03-04,Selangor,1st Booster,0
2021-03-04,Terengganu,1st Booster,0
2021-03-04,Kuala Lumpur,1st Booster,0
2021-03-04,Labuan,1st Booster,0
2021-03-04,Putrajaya,1st Booster,0
2021-03-04,Malaysia,1st Booster,0
2021-03-04,Johor,2nd Booster,0
2021-03-04,Kedah,2nd Booster,0
2021-03-04,Kelantan,2nd Booster,0
2021-03-04,Melaka,2nd Booster,0
2021-03-04,Negeri Sembilan,2nd Booster,0
2021-03-04,Pahang,2nd Booster,0
2021-03-04,Perak,2nd Booster,0
2021-03-04,Perlis,2nd Booster,0
2021-03-04,Penang,2nd Booster,0
2021-03-04,Sabah,2nd Booster,0
2021-03-04,Sarawak,2nd Booster,0
2021-03-04,Selangor,2nd Booster,0
2021-03-04,Terengganu,2nd Booster,0
